Contract,PaperlessBilling,PaymentMethod,AutoRenewal,BillingCycle,DiscountApplied,LoyaltyProgramMember,customerID
Two year,Yes,Bank transfer (automatic),Yes,Monthly,Yes,Yes,3963-RYFNS
Month-to-month,Yes,Bank transfer (automatic),Yes,Monthly,Yes,Yes,3198-VELRD
Two year,No,Credit card (automatic),No,Monthly,,Yes,8540-ZQGEA
Month-to-month,Yes,Electronic check,Yes,Monthly,,No,1320-REHCS
Two year,Yes,Bank transfer (automatic),Yes,Monthly,No,Yes,4137-JOPHL
Month-to-month,Yes,Electronic check,Yes,Monthly,Yes,Yes,9436-ZBZCT
One year,No,Credit card (automatic),Yes,Monthly,Yes,Yes,7801-CEDNV
Two year,Yes,Bank transfer (automatic),Yes,Monthly,Yes,Yes,2057-BOYKM
One year,Yes,Credit card (automatic), Yes  ,Semiann,no,Yes,3658-QQJYD
Month-to-month,Yes,Electronic check,No,Monthly,Yes,No,1803-BGNBD
One year,No,Bank transfer (automatic),Yes,Monthly,,Yes,0134-XWXCE
Two year,Yes,Bank transfer (automatic),,Monthly,No,Yes,6950-TWMYB
Two year,No,Bank transfer (automatic),No,Monthly,No,Yes,5848-FHRFC
Month-to-month,No,Mailed check,Yes,Monthly,Yes,No,2243-FNMMI
One year,No,Bank transfer (automatic),Yes,Monthly,Yes,Yes,2511-MORQY
Two year,Yes,Credit card (automatic),Yes,Monthly,Yes,Yes,5356-KZCKT
Month-to-month,Yes,Bank transfer (automatic),Yes,Monthly,Yes,Yes,9470-XCCEM
Month-to-month,Yes,Electronic check,Yes,Monthly,No,No,6519-CFDBX
Two year,No,Mailed check,No,Monthly,Yes,Yes, 3902-MIVLE  
One year,Yes,Credit card (automatic),No,Monthly,No,Yes,0409-WTMPL
One year,Yes,Mailed check,Yes,Monthly,Yes,Yes,ORPH-e064acf6
Two year,Yes,Credit card (automatic),Yes,Monthly,Yes,Yes,UNK-59ded1ac
One year,No,Credit card (automatic),No,Monthly,No,Yes,3055-VTCGS
Month-to-month,Yes,Bank transfer (automatic),Yes,Monthly,No,Yes,3144-KMTWZ
Month-to-month,Yes,Electronic check,Yes,Monthly,Yes,Yes,7279-BUYWN
Month-to-month,Yes,Electronic check,Yes,Monthly,No,Yes,7156-MHUGY
Month-to-month,No,Electronic check,Yes,Monthly,No,Yes,7198-GLXTC
Two year,Yes,Bank transfer (automatic),No,Quarter,Yes,Yes,UNK-712c31b4
Month-to-month,Yes,Mailed check,ues,Monthly,Yes,No,5207-PLSTK
Two year,Yes,Electronic check,No,Semiann,No,Yes,2307-FYNNL
Two year,Yes,Bank transfer (automatic),Yes,Quarter,Yes,Yes,5605-XNWEN
Month-to-month,Yes,Credit card (automatic),Yes,Monthly,Yes,Yes,2155-AMQRX
Two year,No,Credit card (automatic),Yes,Quarter,No,Yes,6181-AXXYF
Month-to-month,Yes,Electronic check,Yes,Monthly,Yes,No,5091-HFAZW
One year,No,Bank transfer (automatic),Yes,Monthly,No,Yes,0516-VRYBW
One year,Yes,Electronic check,No,Quarter,No,Yes,2519-LBNQL
Month-to-month,Yes,Electronic check,Yes,Monthly,Yes,No,8623-ULFNQ
Month-to-month,Yes,Electronic check,Yes,Monthly,No,No,8380-PEFPE
Month-to-month,No,Mailed check,Yes,Monthly,No,Yes,5687-DKDTV
Two year,Yes,Credit card (automatic),Yes,Quarter,Yes,Yes,1568-LJSZU
Month-to-month,Yes,Credit card (automatic),Yes,Monthly,Yes,Yes,7530-HDYDS
One year,Yes,Bank transfer (automatic),Yes,Quarter,Yes,Yes,7789-HKSBS
Two year,Yes,Bank transfer (automatic),No,Quarter,Yes,Yes,7416-CKTEP
Month-to-month,No,Electronic check,Yes,Monthly,Yes,Yes,2586-CWXVV
Month-to-month,No,Bank transfer (automatic),Yes,Monthly,No,Yes,3096-IZETN
One year,Yes,Mailed check,Yes,Monthly,Yes,Yes,2348-KCJLT
Month-to-month,Yes,Bank transfer (automatic),Yes,Monthly,Yes,Yes,8401-EMUWF
Two year,No,Bank transfer (automatic),Yes,Monthly,Yes,Yes,4193-IBKSW
Two year,No,Mailed check,No,Quarter,No,Yes,5377-NDTOU
Month-to-month,No,Mailed check,Yes,Monthly,No,Yes,5922-ABDVO
Month-to-month,Yes,Credit card (automatic),No,Monthly,No,No,2474-LCNUE
Two year,No,Credit card (automatic),Yes,Monthly,Yes,Yes,0839-QNXME
One year,No,Bank transfer (automatic),No,Monthly,Yes,Yes,3506-OVLKD
Month-to-month,Yes,Electronic check,Yes,Monthly,No,Yes,9172-ANCRX
Month-to-month,Yes,Bank transfer (automatic),No,Monthly,No,Yes,6650-VJONK
Month-to-month,Yes,Mailed check,Yes,Monthly,No,Yes,2178-PMGCJ
Two year,No,Mailed check,No,Annual,Yes,Yes,7492-TAFJD
Two year,Yes,Mailed check,Yes,Annual,Yes,Yes,2773-MADBQ
Month-to-month,No,Mailed check,No,Monthly,No,Yes,6016-LVTJQ
Two year,No,Credit card (automatic),No,Monthly,Yes,Yes,7860-KSUGX
Two year,,Credit card (automatic),No,Monthly,Yes,Yes,8966-KZXXA
Month-to-month,No,Electronic check,Yes,Monthly,Yes,No,6910-HADCM
Month-to-month,Yes,Electronic check,Yes,Monthly,No,No,4816-LXZYW
Month-to-month,Yes,Electronic check,Yes,Monthly,Yes,Yes,9606-PBKBQ
One year,Yes,Credit card (automatic),Yes,Monthly,Yes,Yes,5149-QYTTU
Month-to-month,Yes,Mailed check,Yes,Monthly,No,Yes,2070-XYMFH
One year,Yes,Bank transfer (automatic),Yes,Monthly,Yes,Yes,2085-BOJKI
Month-to-month,Yes,Electronic check,Yes,Monthly,Yes,Yes,0817-HSUSE
Two year,No,Mailed check,No,Monthly,No,No,5442-PPTJY
Two year,No,Credit card (automatic), Yes  ,Monthly,Yes,Yes,1927-QEWMY
Month-to-month,No,Mailed check,Yes,Monthly,Yes,Yes,1663-MHLHE
Two year,No,Bank transfer (automatic), Yes  ,Quarter,Yes,Yes,5663-QBGIS
Month-to-month,No,Bank transfer (automatic),Yes,Monthly,Yes,Yes,4450-MDZFX
Two year,No,Credit card (automatic),Yes,Monthly,Yes,Yes,6701-DHKWQ
Month-to-month,No,Mailed check,Yes,Monthly,No,Yes,7554-AKDQF
Month-to-month,No,Electronic check,Yes,Monthly,No,Yes,3536-IQCTX
Month-to-month,Yes,Credit card (automatic),Yes,Monthly,Yes,Yes,ORPH-5bb20643
UNK-83a873a0,Yes,Credit card (automatic), Yes  ,Monthly,Yes,Yes,UNK-953893b8
Two year,No,Bank transfer (automatic),No,Monthly,Yes,Yes,ORPH-b4f937ba
Month-to-month,Yes,Electronic check,Yes,Monthly,No,Yes,5423-BHIXO
Month-to-month,Yes,Electronic check,Yes,Monthly,Yes,Yes,6908-VVYHM
Month-to-month,Yes,Bank transfer (automatic),Yes,Monthly,No,Yes,2959-EEXWB
One year,No,Electronic check,No,Monthly,No,Yes,1839-UMACK
Month-to-month,Yes,Electronic check,Yes,Monthly,Yes,No,3030-YDNRM
Two year,No,Mailed check,Yes,Monthly,No,Yes,
Month-to-month,Yes,Mailed check,Yes,Monthly,Yes,Yes,3402-XRIUO
Month-to-month,Yes,Electronic check,Yes,Monthly,No,Yes,3132-TVFDZ
Month-to-month,No,Electronic check,Yes,Monthly,No,No,8286-AFUYI
Month-to-month,No,Electronic check,Yes,Monthly,Yes,No,8080-DDEMJ
Month-to-month,Yes,Electronic check,Yes,Monthly,Yes,Yes,8356-WUAOJ
Month-to-month,Yes,Electronic check,Yes,Monthly,Yes,Yes,6365-MTGZX
Month-to-month,No,Bank transfer (automatic),Yes,Kemiann,Yes,No,1349-WXNGG
Month-to-month,Yes,Electronic check,Yes,Monthly,Yes,Yes,8058-DMYRU
Two year,Yes,Credit card (automatic),No,Semiann,Yes,No,9350-ZXYJC
Two year,No,Bank transfer (automatic),Yes,Monthly,Yes,Yes,6990-YNRIO
One year,No,Electronic check,Yes,Monthly,Yes,Yes,8958-JPTRR
Month-to-month,Yes,Electronic check,Yes,Monthly,Yes,Yes,6959-GQEGV
Two year,No,Credit card (automatic),No,Monthly,No,Yes,3173-WSSUE
One year,No,ElVctronic check,No,Monthly,Yes,Yes,1265-HVPZB
One year,Yes,Bank transfer (automatic),No,Monthly,Yes,Yes,4115-UMJFQ
One year,No,Mailed check,No,Semiann,No,Yes,UNK-647562b0
Two year,No,Credit card (automatic),No,Semiann,Yes,Yes,1098-KFQEC
One year,No,Mailed check,No,Semiann,Yes,Yes,
Month-to-month,Yes,Electronic check,Yes,Monthly,No,Yes,0621-TWIEM
Month-to-month,Yes,Credit card (automatic),Yes,Monthly,No,Yes, 3537-RYBHH  
Month-to-month,Yes,Electronic check,Yes,Monthly,Yes,Yes,2485-ITVKB
Month-to-month,No,Credit card (automatic),Yes,Monthly,Yes,No,3669-OYSJI
Month-to-month,No,Electronic check,Yes,Monthly,Yes,No,1612-EOHDH
Month-to-month,Yes,Electronic check,Yes,Monthly,No,No,6702-OHFWR
Two year,Yes,Mailed check,Yes,Monthly,Yes,Yes,5296-BFCYD
Month-to-month,Yes,Credit card (automatic),Yes,Monthly,No,Yes,4510-PYUSH
Two year,No,Credit card (automatic),No,,Yes,Yes,9359-JANWS
Month-to-month,Yes,Electronic check,Yes,Monthly,Yes,Yes,7517-SAWMO
Month-to-month,Yes,Electronic check,Yes,Monthly,Yes,No,4143-HHPMK
Two year,No,Mailed check,No,Annual,Yes,Yes,3279-DYZQM
Month-to-month,No,Mailed check,No,Monthly,No,No,7054-LGEQW
Month-to-month,Yes,Electronic check,No,Monthly,Yes,Yes,0523-VNGTF
One year,No,Mailed check,No,Quarter,Yes,No,9575-IWCAZ
One year,No,Mailed check,No,Monthly,Yes,Yes,7105-MXJLL
One year,Yes,Electronic check,No,Quarter,Yes,Yes,7064-FRRSW
One year,Yes,Bank transfer (automatic),Yes,Monthly,Yes,Yes,7940-UQQUG
Month-to-month,No,Electronic check,Yes,Monthly,No,Yes,0923-PNFUB
Month-to-month,Yes,Bank transfer (automatic),Yes,Monthly,No,Yes,3961-SXAXY
Two year,No,Credit card (automatic),No,Monthly,Yes,Yes,7010-BRBUU
Month-to-month,Yes,Mailed check,Yes,Monthly,Yes,Yes,3566-HJGPK
Month-to-month,Yes,Electronic check,No,Monthly,Yes,Yes,3062-ICYZQ
Two year,No,Bank transfer (automatic),No,Quarter,Yes,Yes,9938-PRCVK
Two year,Yes,Credit card (automatic),Yes,Semiann,Yes,Yes,0973-KYVNF
Two year,No,,,Quarter,No,Yes, 5129-HHMZC  
Two year,Yes,Credit card (automatic),Yes,Semiann,Yes,Yes,9637-CDTKZ
One year,Yes,Credit card (automatic),No,Monthly,Yes,Yes,3946-JEWRQ
Two year,No,Credit card (automatic),Yes,Monthly,Yes,Yes,7873-CVMAW
Month-to-month,Yes,Credit card (automatic),Yes,Monthly,Yes,Yes,0463-WZZKO
Month-to-month,,Electronic check,Yes,Monthly,No,Yes,3494-JCHRQ
Month-to-month,Yes,Electronic check,Yes,Monthly, Yes  ,No,ORPH-ce0b9ee3
Month-to-month,Yes,Bank transfer (automatic),Yes,Monthly,No,No,4524-QCSSM
Month-to-month,Yes,Mailed check,Yes,Monthly,No,Yes,5832-EXGTT
Month-to-month,Yes,Bank transfer (automatic),Yes,Monthly,No,Yes,8840-DQLGN
One year,No,Bank transfer (automatic),No,Monthly,Yes,Yes,2039-JONDJ
Month-to-month,Yes,Credit card (automatic),Yes,Monthly,No,Yes,7217-JYHOQ
Two year,Yes,Bank transfer (automatic),No,Monthly,Yes,Yes,6695-FRVEC
Month-to-month,No,Electronic check,No,Monthly,No,No,4547-LYTDD
One year,No,Bank transfer (automatic),No,Monthly,Yes,Yes,9894-QMIMJ
Month-to-month,Yes,Mailed check,Yes,Monthly,Yes,No,8069-YQQAJ
Month-to-month,Yes,Electronic check,Yes,Monthly,Yes,Yes,6770-XUAGN
Month-to-month,No,Mailed check,Yes,Monthly,Yes,No,4193-ORFCL
Month-to-month,Yes,Credit card (automatic),Yes,Monthly,Yes,Yes,1636-NTNCO
Month-to-month,Yes,Electronic check,Yes,Monthly,Yes,No,3466-WAESX
Month-to-month,Yes,Electronic check,Yes,Monthly,Yes,Yes,9281-PKKZE
Two year,Yes,Bank transfer (automatic),Yes,Monthly,Yes,Yes,3638-VBZTA
Month-to-month,No,Electronic check,Yes,Monthly,Yes,Yes,7459-IMVYU
Month-to-month,Yes,Bank transfer (automatic),Yes,Monthly,Yes,Yes,7776-QWNFX
Month-to-month,No,Electronic check,Yes,Monthly,No,Yes,6689-TCZHQ
Month-to-month,Yes,Credit card (automatic),Yes,Monthly,Yes,No,8563-OYMQY
Two year,No,Mailed check,No,Monthly,Yes,No,0754-EEBDC
One year,No,Electronic check,No,Monthly,No,Yes,5777-ZPQNC
Two year,Yes,Credit card (automatic),No,Quarter,No,Yes,1951-IEYXM
Month-to-month,Yes,Electronic check,Yes,Monthly,Yes,Yes,3318-NMQXL
Month-to-month,Yes,Electronic check,Yes,Monthly,Yes,Yes,3143-ILDAL
One year,Yes,Mailed check,No,Semiann,Yes,Yes,1022-RKXDR
One year,No,Credit card (automatic),No,Monthly,Yes,Yes,ORPH-1e623bcd
Month-to-month,Yes,Electronic check,Yes,Monthly,Yes,Yes,2272-UOINI
Two year,No,Credit card (automatic),No,Quarter,Yes,Yes,8232-UTFOZ
One year,No,mailed check,Yes,Monthly,No,Yes,3750-YHRYO
Month-to-month,Yes,Electronic check,Yes,Monthly,Yes,Yes,6637-KYRCV
Two year,No,Credit card (automatic),No,Monthly,Yes,Yes,5668-MEISB
One year,Yes,Bank transfer (automatic),No,Quarter,Yes,Yes,0129-QMPDR
One year,Yes,Electronic check,Yes, Semiann  ,Yes,Yes,7188-CBBBA
Month-to-month,No,Electronic check,Yes,Monthly,Yes,No,ORPH-3fe85dee
Month-to-month,Yes,Credit card (automatic),Yes,Monthly,Yes,Yes,3221-CJMSG
Month-to-month,Yes,Bank transfer (automatic),Yes,Monthly,Yes,Yes,4720-VSTSI
Two year,No,Credit card (automatic),No,Monthly,No,Yes,3219-JQRSL
Month-to-month,No,Electronic check,Yes,Monthly,No,Yes,2801-NISEI
Month-to-month,No,Mailed check,Yes,Monthly,No,No,3946-MHCZW
Month-to-month,Yes,Bank transfer (automatic),Yes,Monthly,Yes,Yes,4623-ZKHLY
Two year,Yes,Credit card (automatic),Yes,Quarter,Yes,Yes,6732-VAILE
Month-to-month,No,Electronic check,Yes,Monthly,No,Yes,8201-AAXCB
Two year,No,Bank transfer (automatic),Yes,Semiann,Yes,Yes,ORPH-f6f2f18d
Month-to-month,No,Bank transfer (automatic),Yes,Monthly,No,No,1845-CSBRZ
Two year,Yes,Bank transfer (automatic),Yes,Monthly,Yes,Yes,2123-VSCOT
Month-to-month,Yes,Electronic check,Yes,Monthly,Yes,Yes,6651-AZVTJ
Month-to-month,Yes,Bank transfer (automatic),Yes,Monthly,Yes,Yes,4566-GOLUK
Month-to-month,Yes,Mailed check,Yes,Monthly,Yes,Yes,2484-DGXPZ
Month-to-month,Yes,Electronic check,No,Monthly,Yes,Yes,2018-QKYGT
Month-to-month,Yes,Electronic check,Yes,Monthly,No,No,2792-VPPET
One year,Yes,Bank transfer (automatic),Yes,Monthly,No,Yes,7409-JURKQ
Month-to-month,No,Mailed check,Yes,,No,Yes,3247-MHJKM
One year,Yes,Mailed check,Yes,Quarter,No,Yes,1964-SVLEA
Month-to-month,Yes,Electronic check,Yes,Monthly,No,Yes,4587-NUKOX
One year,Yes,Bank transfer (automatic),Yes,Monthly,Yes,Yes,7297-DVYGA
One year,Yes,Bank transfer (automatic),No,Monthly,Yes,Yes,2239-CGBUZ
Two year, No  ,Mailed check,Yes,Monthly,Yes,Yes,0854-UYHZD
Month-to-month,No,Mailed check,No,Monthly,No,No,7243-LCGGZ
Month-to-month,Yes,Mailed check,Yes,Monthly,Yes,Yes,8267-KFGYD
One year,No,Electronic check,No,Monthly,Yes,Yes,4890-VMUAV
Month-to-month,No,Mailed check,No,Monthly,No,Yes,9261-WDCAF
Two year,,Credit card (automatic),Yes,Monthly,No,Yes,3764-MNMOI
Month-to-month,Yes,Credit card (automatic),Yes,,Yes,No,7442-YGZFK
Month-to-month,No,Mailed check,No,Monthly,Yes,No,0420-BWTPW
Two year,No,Bank transfer (automatic),Yes,Monthly,Yes,Yes,8229-BUJHX
Month-to-month,Yes,Credit card (automatic),Yes,Monthly,No,Yes,7449-HVPIV
One year,Yes,Bank transfer (automatic),No,Monthly,Yes,Yes,5504-WSIUR
Month-to-month,No,Electronic check,Yes,Monthly,Yes,Yes,8183-ONMXC
Two year,No,Bank transfer (automatic),No,Semiann,No,Yes,8466-PZBLH
Month-to-month,Yes,Bank transfer (automatic),Yes,Monthly,Yes,Yes,9614-RMGHA
Month-to-month,No,Credit card (automatic),Yes,Monthly,Yes,Yes,8735-IJJEG
Month-to-month,Yes,Bank transfer (automatic),Yes,Monthly,Yes,Yes,0564-MUUQK
Month-to-month,Yes,Electronic check,Yes,Monthly,Yes,No,5054-IEXZT
Month-to-month,Yes,Electronic check,No,Monthly,Yes,No,5834-ASPWA
Month-to-month,Yes,Bank transfer (automatic),Yes,Monthly,No,Yes,0701-RFGFI
Two year,Yes,Bank transfer (automatic),No,Monthly,No,Yes,0019-EFAEP
Month-to-month,No,Electronic check,Yes,Monthly,No,Yes,5619-PTMIK
Month-to-month,Yes,Bank transfer (automatic),Yes,Monthly,Yes,Yes,3737-XBQDD
Month-to-month,No,Electronic check,Yes,Monthly,Yes,Yes,5882-CMAZQ
Month-to-month,No,Credit card (automatic),Yes,Monthly,No,Yes,5846-QFDFI
One year,Yes,,No,Monthly,Yes,Yes,4445-KWOKW
One year,Yes,Credit card (automatic),Yes,Quarter,Yes,No,3511-APPBJ
MONTH-TO-MONTH ,No,Bank transfer (automatic),No,Monthly,No,No,7967-HYCDE
One year,Yes,Mailed check,Yes,Monthly,Yes,Yes,2430-RRYUW
Month-to-month,Yes,Bank transfer (automatic),Yes,Monthly,Yes,Yes,3948-XHGNA
Month-to-month,No,Credit card (automatic),Yes,Monthly,No,Yes,3723-BFBGR
One year,Yes,Credit card (automatic),No,Monthly,Yes,Yes,0565-IYCGT
One year,Yes,Mailed check,Yes,Monthly,,Yes,5447-WZAFP
Two year,No,Electronic check,No,Monthly,Yes,Yes,5110-CHOPY
Month-to-month,Yes,Electronic check,Yes,Monthly,Yes,No,5445-UTODQ
One year,Yes,Credit card (automatic),No,Monthly,Yes,Yes,4425-OWHWB
Month-to-month,No,Electronic check,Yes,Monthly,No,Yes,7892-QVYKW
Two year,Yes,,No,Quarter,Yes,Yes,9675-ICXCT
Month-to-month,Yes,Electronic check,Yes,Monthly,Yes,Yes,1024-VRZHF
Two year,No,Mailed check,Yes,Semiann,No,No,4703-MQYKT
Month-to-month,Yes,Electronic check,Yes,Monthly,Yes,Yes,9497-QCMMS
Month-to-month,Yes,, No  ,Monthly,Yes,No,5692-ICXLW
Two year,No,Mailed check,Yes,Monthly,No,Yes,0602-DDUML
Two year,Yes,Bank transfer (automatic),No,Monthly,Yes,Yes,2208-MPXIO
Month-to-month,Yes,Electronic check,Yes,Monthly,Yes,Yes,1960-UYCNN
Month-to-month,Yes, Credit card (automatic)  ,Yes, Monthly  ,Yes,Yes,0348-SDKOL
Month-to-month,No,Mailed check,Yes,Monthly,No,Yes,3190-FZATL
One year,No,Mailed check,Yes,Monthly,No,Yes,7336-RLLRH
Month-to-month,Yes,Bank transfer (automatic),Yes,Monthly,Yes,Yes,4373-MAVJG
Month-to-month,No,Mailed check,Yes,Monthly,No,Yes,8901-HJXTF
Two year,Yes,Bank transfer (automatic),No,Quarter,Yes,Yes,7710-JSYOA
Month-to-month,Yes, Bank transfer (automatic)  ,Yes,Monthly,Yes,Yes,5419-KLXBN
One year,Yes,Electronic check,No,Monthly,Yes,Yes,3424-NMNBO
Two year,Yes,Credit card (automatic),No,Quarter,Yes,Yes,9885-MFVSU
 Month-to-month  ,Yes,Electronic check,Yes,Monthly,Yes,Yes,4514-GFCFI
One year,No,Credit card (automatic),No,Annual,Yes,No,0607-MVMGC
Month-to-month,Yes,Electronic check,Yes,Monthly,Yes,Yes,3365-SAIGS
Month-to-month,Yes,Electronic check,Yes,Monthly,Yes,No,9828-AOQLM
One year,No,Mailed check,No,Monthly,Yes,Yes,8022-BECSI
Month-to-month,Yes,Electronic check,Yes,Monthly,No,No,8000-REIQB
Two year,,Mailed check,No,Monthly,No,Yes,9993-LHIEB
Two year,Yes,Bank transfer (automatic),No,Quarter,Yes,Yes,0266-CLZKZ
Month-to-month,No,Electronic check,Yes,Monthly,No,Yes,7615-ESMYF
Month-to-month,Yes,Electronic check,Yes,Monthly,No,Yes,ORPH-a8ac9ccc
Month-to-month,No,Credit card (automatic),Yes,Monthly,Yes,No,7020-OZKXZ
Month-to-month,No,Mailed check,Yes,Monthly,No,Yes,3977-QCRSL
Two year,No,Credit card (automatic),Yes,Monthly,Yes,Yes,0017-DINOC
Two year,Yes,Electronic check,Yes,Monthly,Yes,Yes,1447-PJGGA
Month-to-month,Yes,Mailed check,Yes,Monthly,Yes,Yes,8565-CLBZW
One year,No,Mailed check,No,Quarter,Yes,Yes,9139-WQQDY
Month-to-month,No,Electronic check,Yes,Monthly,No,Yes,0224-HJAPT
Month-to-month,Yes,Electronic check,Yes,Monthly,Yes,No,8086-OVPWV
Month-to-month,Yes,Mailed check,Yes,Monthly,Yes,No,9430-FRQOC
Two year,Yes,Bank transfer (automatic),No,Monthly,Yes,Yes,7639-OPLNG
Month-to-month,Yes,Bank transfer (automatic),Yes,Monthly,Yes,Yes,3074-GQWYX
Month-to-month,No,Electronic check,Yes,Monthly,Yes,,1492-QGCLU
Month-to-month,Yes,Electronic check,Yes,Monthly,Yes,Yes,6845-RGTYS
One year,No,Credit card (automatic),No,Monthly,Yes,Yes,7328-OWMOM
Month-to-month,No,Bank transfer (automatic),Yes,Monthly,Yes,Yes, 4418-LZMSV  
Month-to-month,No,Mailed check,Yes,Monthly,Yes,Yes,5155-AZQPB
Month-to-month,No,Electronic check,Yes,Monthly,No,Yes,8861-HGGKB
Two year,No,Bank transfer (automatic),Yes,Monthly,No,Yes,1087-GRUYI
Month-to-month,Yes,Mailed check,Yes,Monthly,No,No,7065-YUNRY
One year,No,Electronic check,No,Monthly,Yes,Yes,7694-VLBWQ
One year,Yes,Mailed check,No,Quarter,Yes,Yes,2546-KZAAT
Two year,No,Mailed check,No,Semiann,No,Yes,0181-RITDD
Month-to-month,Yes,Electronic check,Yes,Monthly,Yes,No,5989-PGKJB
Month-to-month,Yes,Electronic check,Yes,Monthly,No,No,4795-KTRTH
ONE YEAR ,No,Electronic check,No,Quarter,No,Yes,8272-ONJLV
Two year,Yes,Bank transfer (automatic),No,Monthly,Yes,Yes,1488-PBLJN
One year,No,Bank transfer (automatic),Yes,Quarter,Yes,Yes,0308-GIQJT
One year,No,Mailed check,No,Quarter,No,Yes,3778-FOAQW
Two year,No,Mailed check,Yes,Monthly,Yes,No,4452-ROHMO
One year,Yes,Credit card (automatic),No,Monthly,Yes,Yes,6481-OGDOO
Month-to-month,No,Bank transfer (automatic),Yes,Monthly,Yes,Yes,3090-LETTY
Month-to-month,No,Mailed check,Yes,Monthly,Yes,No,5349-AZPEW
Month-to-month,No,Electronic check,,Monthly,Yes,No,3753-TSEMP
Month-to-month,Yes,Mailed check,Yes,Monthly,Yes,No,8305-VHZBZ
One year,Yes,Bank transfer (automatic),Yes,Monthly,Yes,Yes,9720-JJJOR
Month-to-month,Yes,Electronic check,Yes,Monthly,Yes,Yes,8100-HZZLJ
Month-to-month,No,Electronic check,Yes,Monthly,No,No,8775-ERLNB
Month-to-month,Yes,Mailed check,Yes,Monthly,No,Yes,8309-IEYJD
Month-to-month,Yes,Electronic check,Yes,Monthly,Yes,Yes,9172-JITSM
Month-to-month,Yes,Electronic check,Yes,Monthly,No,Yes,6298-QDFNH
Two year,No,Bank transfer (automatic),,Monthly,Yes,Yes,7398-HPYZQ
Two year,No,Mailed check,Yes,MONTHLY ,Yes,Yes,3546-GHEAE
Month-to-month,No,Bank transfer (automatic),Yes,Monthly,Yes,Yes,7361-YPXFS
Month-to-month,No,Electronic check,Yes,Monthly,No,Yes,6557-BZXLQ
One year,No,Mailed check,Yes,Monthly,No,Yes,2550-QHZGP
Two year,Yes,Bank transfer (automatic),Yes,Monthly,Yes,Yes,7519-JTWQH
Month-to-month,No,Mailed check,Yes,Monthly,Yes,No,2538-OIMXF
Month-to-month,Yes,Electronic check,Yes,Monthly,No,No,8543-MSDMF
Month-to-month,Yes,Bank transfer (automatic),Yes,Monthly,No,Yes,9961-JBNMK
Month-to-month,Yes,Bank transfer (automatic),No,Monthly,No,Yes,1170-SASML
Two year,Yes,Bank transfer (automatic),No,Monthly,Yes,Yes,4872-JCVCA
Two year,No,Mailed check,No,Monthly,Yes,Yes,5346-BZCHP
Month-to-month,Yes,Electronic check,Yes,Monthly,Yes,No,2038-LLMLM
ONE YEAR ,Yes,Bank transfer (automatic),,Monthly,Yes,Yes,6173-ITPWD
Month-to-month,Yes,Electronic check,Yes,Monthly,No,No,9734-UYXQI
Month-to-month,Yes,Credit card (automatic),No,Monthly,Yes,Yes,1216-BGTSP
Month-to-month,No,Bank transfer (automatic),Yes,Monthly,No,Yes,4138-NAXED
Month-to-month,Yes,Electronic check,Yes,Monthly,Yes,No,2189-UXTKY
Two year,No,Bank transfer (automatic),No,Monthly,Yes,Yes,0744-BIKKF
Month-to-month,Yes,Electronic check,Yes,Monthly,Yes,Yes,7483-IQWIB
Two year,No,Electronic check,Yes,Monthly,Yes,Yes,5248-KWLAR
Month-to-month,No,Electronic check,No,Monthly,No,No,4958-GZWIY
Two year,Yes,Credit card (automatic),Yes,Quarter,Yes,Yes,7996-MHXLW
One year,Yes,Bank transfer (automatic),Yes,Monthly,Yes,Yes,7833-PKIHD
One year,No,Bank transfer (automatic),No,Quarter,No,Yes,7061-OVMIM
Month-to-month,No,Electronic check,No,Monthly,Yes,Yes,5153-RTHKF
Two year,Yes,Mailed check,No,Quarter,Yes,Yes,1852-QSWCD
One year,Yes,Bank transfer (automatic),Yes,Quarter,Yes,Yes,4832-VRBMR
Month-to-month,No,Mailed check,No,Monthly,No,Yes,9079-LWTFD
Month-to-month,Yes,Electronic check,Yes,Monthly,Yes,No,6356-ELRKD
Month-to-month,Yes,Credit card (automatic),Yes,Monthly,Yes,Yes,8624-GIOUT
Two year,No,Credit card (automatic),Yes,Quarter,No,Yes,3392-EHMNK
One year,No,Bank transfer (automatic),No,Monthly,No,Yes,5986-WWXDV
Month-to-month,No,Mailed check,Yes,Monthly,Yes,No,3061-BCKYI
Month-to-month,Yes,Credit card (automatic),No,Monthly,Yes,Yes,6179-GJPSO
Month-to-month,Yes,Electronic check,Yes,Monthly,Yes,Yes,7901-TBKJX
One year,No,Credit card (automatic),No,Monthly,Yes,Yes,7228-PAQPD
Month-to-month,No,Electronic check,Yes,Monthly,Yes,No,3177-LASXD
One year,Yes,Mailed check,Yes,Quarter,Yes,Yes,7746-QYVCO
Month-to-month,Yes,Electronic check,Yes,Monthly,No,Yes,5804-HYIEZ
Two year,Yes,Credit card (automatic),No,Monthly,Yes,Yes,9919-FZDED
Month-to-month,Yes,Credit card (automatic),Yes,Monthly,Yes,Yes,5934-TSSAU
Month-to-month,No,Mailed check,Yes,Monthly,No,Yes,3486-KHMLI
Month-to-month,Yes,Mailed check,Yes,Monthly,Yes,No,4897-QSUYC
Month-to-month,No,Bank transfer (automatic),Yes,Monthly,Yes,Yes,1084-UQCHV
Month-to-month,Yes,Electronic check,Yes,Monthly,Yes,No,8290-YWKHZ
Month-to-month,No,Electronic check,Yes,Monthly,Yes,No,2955-BJZHG
