PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,SmartHomePackage,GamingBundle,InternationalCallingPlan,CloudStoragePlan,customerID
Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,No,No,, Yes  ,5099-BAILX
Yes,Yes,DSL,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,9931-KGHOA
Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1775-KWJKQ
Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,No,No,No,7665-VIGUD
No,No phone service,DSL,Yes,No,No,Yes,Yes,Yes,Yes,No,No,Yes,9411-TPQQV
Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,7207-RMRDB
Yes,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,7954-MLBUN
Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,2077-DDHJK
Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,4913-EHYUI
Yes,Yes,Fiber optic,yes,No,No,No,No,Yes,Yes,Yes,No,Yes,0195-IESCP
Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,Yes,Yes,No,9574-BOSMD
Yes,No,DSL,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes,4580-TMHJU
Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,0970-ETWGE
Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,4908-XAXAY
Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,No,No,Yes,8404-VLQFB
Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,1626-ERCMM
Yes,No,DSL,No,No,No,No,No,No,,No,Yes,No,0887-HJGAR
Yes,Yes,DSL,No,No,Yes,Yes,Yes,No,Yes,No,No,No,2391-IPLOP
Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Yes,Yes,No,Yes,5644-PDMZC
Yes,No,Fiber optic,No,No,No,No,,No,Yes,No,No,No,3509-GWQGF
Yes,No,Fiber optic,No,No,No,No,No,No,Yes,Yes,Yes,No,9576-ANLXO
Yes,No,,No, No  ,Yes,No,No,No,Yes,Yes,No,Yes,2024-BASKD
Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Yes,No,No,5845-BZZIB
Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,No,No,No,1140-UKVZG
Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,No,Yes,Yes,4160-AMJTL
Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,5183-SNMJQ
Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,8100-PNJMH
Yes,No,DSL,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,7838-LAZFO
Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,No,No,No,4464-JCOLN
Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,No,No,Yes,2085-JVGAD
No,No phone service,DSL,No,No,No,No,No,No,No,No,No,Yes,5650-VDUDS
Yes,No,DSL,,,No,,No,No,,No,Yes,Yes,8095-WANWK
Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,No,Yes,No,3030-ZKIWL
Yes,Yes,DSL,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,9565-FLVCG
Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,No,No,No,8755-OGKNA
Yes,No,Fiber optic,No,No,Yes,No,No,No,Yes,Yes,No,No,2800-VEQXM
Yes,No,Fiber optic,No,No,No,No,No,No,Yes,No,No,Yes,7538-GWHML
No,No phone service,DSL,No, No  ,Yes,No,No,No,Yes,Yes,No,No,5533-RJFTJ
Yes,No,DSL,No,No,No,No,No,No,Yes,Yes,No,No,3859-CVCET
No,No phone service,DSL,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,no,Yes,0214-JHPFW
Yes,No,No,No internet service,No internet service,No internet service,No internet service,YES ,No internet service,no,No,Yes,No,5642-MHDQT
Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Yes,Yes,,3088-FVYWK
Yes,Yes,Fiber optic,No,No,No,No,No,No,Yes,No,No,Yes,3276-HDUEG
Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Yes,Yes,Yes,9092-GDZKO
No,No phone service,DSL,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,0823-HSCDJ
Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,UNK-daefc769
Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,No,No,No,2324-AALNO
No,No phone service,DSL,No,No,No,No,No,Yes,No,Yes,Yes,No,0822-GAVAP
Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,5760-IFJOZ
Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Yes,Yes,No,Yes,2826-UWHIS
Yes,No,Fiber optic,No,No,No,No,No,Yes,Yes,Yes,No,Yes,1448-PWKYE
Yes,No,DSL,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,7501-IWUNG
Yes,No,DSL,Yes,No,No,Yes,Yes,No,Yes,Yes,No,Yes,4957-TREIR
Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,7251-LJBQN
Yes,No,Fiber optic,No, No  ,No,No,No,No,No,Yes,Yes,Yes,UNK-9a140dd0
Yes,No,,No,No,No,Yes,No,No,Yes,No,No,Yes,1536-HBSWP
Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,No,Yes,Yes,5313-FPXWG
Yes,No,DSL,Yes,No,No,No,No,No,Yes,No,No,Yes,0067-DKWBL
No,No phone service,DSL,No,Yes,No,No,No,No,No,No,No,Yes,0946-FKYTX
Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Yes,Yes,Yes,,5076-YVXCM
Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,No,No,Yes,8262-COGGB
Yes,Yes,DSL,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,6663-JOCQO
Yes,No,No,No internet service,No internet service,Yvs,No internet service,No internet service,No internet service,Yes,No,No,No,9620-QJREV
Yes,Yes,Fiber optic,No,No,No,No,No,No,Yes,No,No,Yes,2276-YDAVZ
Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,No,Yes,Yes,2682-KEVRP
Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,No,No,Yes,2480-JZOSN
Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,0078-XZMHT
Yes,No,DSL,No,,Yes,No,No,No,Yes,Yes,Yes,Yes,UNK-024eefd8
Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Yes,Yes,No,Yes,9978-HYCIN
Yes,Yes,DSL,Yes,No,Yes,Yes,No,No,Yes,No,Yes,No,8338-QIUNR
Yes,Yes,DSL,No,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,1525-LNLOJ
Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Yes,Yus,Yes,YES ,9450-TRJUU
Yes,Yes,Fiber optic,No,,No,No,No,Yes,Yes,Yes,Yes,No,1766-GKNMI
Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,Yes,Yes,Yes,
Yes,No,DSL,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes,1456-TWCGB
Yes,No,Fiber optic,Yes,Yes,No,No,No, No  ,No,No,No,Yes,7133-VBDCG
Yes,No,DSL,Yes,Yes,No,Yes,No,No,Yes,No,Yes,Yes,7596-ZYWBB
Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,8329-UTMVM
Yes,No,Fiber optic,No,No,Yes,No,No,No,Yes,Yes,Yes,Yes,3014-WJKSM
Yes,Yes,DSL,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,3347-YJZZE
Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Yes,No,No,1029-QFBEN
Yes,No,Fiber optic,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,7929-DMBCV
Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,No,Yes,Yes,9661-JALZV
Yes,Yes,Fiber optic,Yes,No,No, Yes  ,No,No,Yes,Yes, No  ,No,5433-KYGHE
Yes,Yes,,No internet service,No internet service,No internet service,No internet service,No internet service,,Yes,Yes,Yes,Yes,4312-KFRXN
Yes,Yes,Fiber optic,Yes,No,No,No,Yes,No,Yes,Yes,Yes,Yes,5575-TPIZQ
No,No phone service,DSL,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,0114-IGABW
Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Yes,Yes,Yes,No,9944-AEXBM
No,No phone service,DSL,No,No,Yes,No,Yes,Yes,Yes,No,No,Yes,1853-ARAAQ
Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Yes,Yes,Yes,Yes,6952-OMNWB
Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,Yes,Yes,No,4697-LUPSU
Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,No,Yes,No,8434-VGEQQ
Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Yes,Yes,No,No,4952-YSOGZ
Yes,No,DSL,No,No,No,No,No,No,Yes,No,No,Yes,1589-AGTLK
Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,UNK-c108588e
Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,No,No,No,6549-YMFAW
Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,No,Yes,Yes,4950-HKQTE
Yes,No,Fiber optic,No,No,No,No,Yes,No,Yes,Yes,No,No,6786-OBWQR
Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,No,No,No,No,Yes,2684-EIWEO
Yes,Yes,DSL,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,2753-JMMCV
Yes,Yes, Fiber optic  ,No,No,Yes,Yes,No,No,No,Yes,Yes,Yes,6439-GTPCA
Yes,No,No,No internet service,No internet service, No internet service  ,No internet service,No internet service,No internet service,No,Yes,Yes,Yes,6621-YOBKI
Yes,No,Fiber optic, No  ,Yes,No,No,No,No,Yes,No, Yes  ,No,1216-JWVUX
Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Yes,Yes,Yes,No,ORPH-41df216a
Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,No,No,Yes,No,ORPH-779db219
No,No phone service,DSL,No,,Yes,No,Yes,Yes,Yes,Yes,No,Yes,7595-EHCDL
Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,6647-ZEDXT
Yes,No,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,2521-NPUZR
Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Yes,No,No,Yes,1307-TVUFB
Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes, 7503-MIOGA  
Yes,Yes,DSL,Yes,No,Yes,Yes,No,No,Yes,Yes,yes,Yes,4381-MHQDC
Yes,No,Fiber optic,Yes,No,Yes,No,No,No,No,Yes,Yes,Yes,6923-JHPMP
Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Yes,Yes,No,Yes,5138-WVKYJ
Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Yes,Yes,Yes,4018-PPNDW
Yes,No,DSL,No,No,No,No,No,No,Yes,No,No,No,ORPH-645115d1
Yes, Yes  ,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,2499-AJYUA
Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,6919-ELBGL
Yes,No,Fiber optic,No,No,Yes,No,No,No,No,No,No,Yes,3966-HRMZA
Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,No,No,No,6425-JWTDV
Yes,No,Fiber optic,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,
Yes,No,DSL,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No,8224-IVVPA
Yes,No,DSL,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,9477-LGWQI
Yes,No,DSL,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,No,1410-RSCMR
Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,No,No,Yes,3115-CZMZD
Yes,No,Fiber optic,,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,0139-IVFJG
Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Yes,Yes,No,No,6683-VLCTZ
Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,YES ,No,Yes,Yes,No,5730-DBDSI
Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service, No internet service  ,Yes,Yes,No,Yes,0030-FNXPP
Yes,No,Fiber optic,No,Yes,No,No,No,Yes,Yes, Yes  ,Yes,Yes,2189-WWOEW
Yes,Yes,Fiber optic,Yes,Yes,No,Yes,No,No,Yes,Yes,No,Yes,5684-FJVYR
Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Yes,Yes,Yes,ORPH-44369634
Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,1894-IGFSG
Yes,No,Fiber optic,No,No,No,No,No,No,Yes,Yes,No,Yes,7379-POKDZ
Yes,Yes,DSL,Yes,No,Yes,Yes,No,No,Yes,Yes, Yes  ,Yes,1266-NZYUI
Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,No, No  ,Yes,7969-FFOWG
No,No phone service,DSL,No,No,No,No,Yes,No,Yes,Yes,No,No,4718-DHSMV
Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Yes,Yes,No,Yes,5175-WLYXL
Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,No,No,,7817-OMJNA
Yes,No,Fiber optic,No,No,No,Yes,No,No,Yes,Yes,Yes,Yes,8728-SKJLR
Yes,No,DSL,Yes,Yes,No,No,No,,Yes,Yes,,No,3137-NYQQI
Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,No,No,No,7706-DZNKK
Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes, Yes  ,Yes,No,Yes,0236-HFWSV
Yes,No,No,No internet service,No internet service,,No internet service,No internet service,No internet service,No,no,No,No,3900-AQPHZ
Yes,No,Fiber optic,Yes,No,Yes,No,No,Yes,No,No,No,Yes,5842-POCOP
Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,2037-XJFUP
Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,No,,Yes,Yes,8823-RLPWL
No,No phone service,DSL,No,Yes,No,No,No,Yes,Yes,Yes,No,No,9505-SQFSW
Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Yes,Yes,No,Yes,7314-OXENN
Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,3758-CKOQL
Yes,No,DSL,No,No,No,No,No,No,No,No,No,No,UNK-c02f4036
Yes,No,DSL,No,Yes,No,Yes,Yes,Yes,Yes,No,,Yes,5676-CFLYY
Yes,No,DSL,YES ,No,No,No,No,No,Yes,Yes,Yes,No,7521-AFHAB
Yes,No,DSL,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,0285-INHLN
Yes,No,DSL,No,No,No,Yes,No,No,Yes,Yes,Yes,Yes,4678-DVQEO
No,No phone service,DSL,Yes,Yes,No,Yes,No,No,Yes,No,No,Yes,5125-CNDSP
Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,0691-IFBQW
No,Yes,DSL,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,4992-LTJNE
Yes,Yes,DSL,Yes,No,No,Yes,No,No,Yes,No,Yes,No,2202-OUTMO
Yes,Yes,DSL,Yes,Yes,No,No,Yes,Yes,Yes,Yes,,No,0810-BDHAW
Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,0229-LFJAF
No,No phone service,DSL,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,7131-ZQZNK
Yes,Yes,DSL,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,3442-ZHHCC
No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,,No,Yes,No,Yes,5726-CVNYA
Yes,No,DSL,Yes,No,Yes, Yes  ,Yes,No,No,Yes,No,Yes,9871-ELEYA
No,No phone service,DSL,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,4257-GAESD
Yes,No,DSL,No, Yes  ,No,Yes,No,Yes,Yes,Yes,Yes,Yes,5173-WXOQV
Yes,Yes,Fiber optic,No,No,No,Yes,No,No,Yes,No,Yes,No,2040-OBMLJ
Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,No,No,No,6286-ZHAOK
Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,No,Yes,Yes,3807-XHCJH
Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,3009-JWMPU
Yes,Yes,Fiber optic,No,No,No,No,No,No,Yes,Yes,Yes,No,5671-RQRLP
Yes,Yes,Fiber optic, No  ,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,1450-GALXR
Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,No,Yes,No,8859-AXJZP
Yes,No,DSL,No,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,3174-AKMAS
Yes,No,Fiber optic,No,Yes, No  ,No,Yes,No,Yes,Yes,No,Yes,3138-BKYAV
Yes,Yes,DSL,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes, No  ,9926-PJHDQ
Yes,No,DSL,No,No,Yes,Yes,No,No,No,yes,Yes,Yes,7382-DFJTU
Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,2798-NYLMZ
Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,4289-DTDKW
Yes, No  ,Fiber optic,No,No,No,No internet service,No,No,No,Yes,Yes,Yes,1820-TQVEV
Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,2239-JALAW
Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,4853-RULSV
Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,No,Yes,Yes,8098-TDCBU
No,No phone service,DSL,Yes,No,No,No,No,No,No,No,No,No,3551-GAEGL
Yes,No,No,No internet service,No internet service,No internet service, No internet service  ,No internet service,No internet service,Yes,Yes,No, No  ,4785-NKHCX
Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Yes,Yes,Yes,No,3196-NVXLZ
Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Yes,Yes,No,No,6275-YDUVO
Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,0036-IHMOT
Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0115-TFERT
,Yes,Fiber optic,Yes,,No,Yes,No,No,Yes,No,No,Yes,4178-EGMON
Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4220-TINQT
Yes,No,,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,5318-YKDPV
NO ,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Yes,Yes, Yes  ,Yes,7975-TZMLR
Yes,No,DSL,No,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,0295-QVKPB
Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,No,No,Yes,4335-BSMJS
Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes, 2311-QYMUQ  
Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,3643-AHCFP
Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,No,No,Yes,9146-JRIOX
Yes,No,Fiber optic,No,Yes,Yes,No,Yes, No  ,Yes,No,No,No,3104-OWCGK
No,No phone service,DSL,No,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,5337-IIWKZ
Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,9101-BWFSS
Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,No,Yes,No,9650-VBUOG
Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,3487-EARAT
Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,2672-TGEFF
Yes,No,Fiber optic,No,No,No,No,Yes,No,Yes,No,Yes,No,9231-ZJYAM
Yes,Yes,Fiber optic,Yes,Yes,No,No,No,Yes,Yes,No,Yes,No,4250-WAROZ
Yes,No,DSL,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,8184-WMOFI
Yes,No,DSL,No,No,No,No,No,No,Yes,Yes,No,No,6982-SSHFK
Yes,No,DSL,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,6092-QZVPP
Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Yes,Yes,Yes,4625-LAMOB
Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,0727-BMPLR
Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,0392-BZIUW
Yes,No,No,No internet service,No internet service, No internet service  ,No internet service,No internet service,No internet service,Yes,Yes,Yes,Yes,1038-ZAGBI
No,No phone service,DSL,Yes,No,No,No,No,No,No,Yes,Yes,Yes,6549-NNDYT
Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,3027-ZTDHO
Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,No,Yes,,0422-OHQHQ
Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,ORPH-b89368cd
No,No phone service,DSL,Yes,No,No,Yes,No,No,Yes,Yes,No,Yes,2316-ESMLS
Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,9778-OGKQZ
Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,no,Yes, 7408-OFWXJ  
Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,
Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,Yes, Yes  ,Yes,Yes,No,2252-NKNSI
Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,No,Yes,No,8713-IGZSO
Yes,No,DSL,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,No,7905-TVXTA
Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,No,Yes,No,7695-PKLCZ
Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Yes,No,No,No,2382-BCKQJ
Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,8374-UULRV
Yes,No,DSL,No,Yes,No,No,No,No,Yes,No,No,Yes,2207-NHRJK
Yes,Yes,Fiber optic,Yes,Yes,No,Yes,No,No,No,Yes,No,Yes,3224-DFQNQ
No,No phone service,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,5275-PMFUT
Yes,No,No,No internet service,No internet service,No internet service,No internet service,YES ,No internet service,No,No,Yes,No,4795-UXVCJ
Yes,Yes,Fiber optic,Yes,No,Yes,No,YES ,Yes,Yes,Yes,No,Yes,9777-IQHWP
Yes,No,Fiber optic,No,Yes,No,No,No,No,No,Yes,Yes,No,0947-MUGVO
Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,9944-HKVVB
Yes,Yes,Fiber optic,No,No,No,No,YES ,Yes,Yes,Yes,No,No,4124-MMETB
Yes,No,Fiber optic,No,No,Yes,Yes,No,No,Yes,No,No,Yes,3671-SHRSP
No,No phone service,DSL,No,No,No,Yes,Yes,No,Yes,Yes,No,Yes,ORPH-16f6a9ad
Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,Yes,Yes,Yes,2732-ISEZX
Yes,Yes,Fiber optic,yes,No,No,No,No,Yes,Yes,Yes,No,Yes,3313-QKNKB
Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,No,Yes,Yes,0323-XWWTN
Yes,Yes,Fiber optic,Yes,No,NO INTERNET SERVICE ,Yes,Yes,No,Yes,Yes,Yes,No,1937-OTUKY
Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,1573-LGXBA
Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,No,Yes,Yes,1764-VUUMT
No,No phone service,DSL,No,Yes,No,No,Yes,Yes,No,No,Yes,Yes,5073-WXOYN
Yes,Yes,Fiber optic,No,No, Yes  ,No,Yes,Yes,Yes,Yes,No,Yes,4713-ZBURT
No,No phone service,DSL,No,No,No,No,Yes,No,Yes,No,No,Yes,3050-GBUSH
Yes,No,Fiber optic,Yes,No,fes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0207-MDKNV
No,No phone service,DSL,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,No,7876-AEHIG
Yes,Yes,DSL,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes, Yes  ,7945-HLKEA
Yes,Yes,DSL,NO ,Yes,No,No,No,No,Yes,No,No,No,9342-VNIMQ
Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,9851-KIELU
Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,No,Yes,No,3523-BRGUW
,No,Fiber optic,No,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,3908-BLSYF
Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3199-NPKCN
No,No phone service,DSL,Yes,No,No,Yes,No,No,Yes,No,No,No,5170-PTRKA
Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,No,No,No,4661-NJEUX
